,c,h,l,o,time
0,108.932,109.244,108.894,109.236,2020-06-08T13:00:00.000000000Z
1,108.572,108.950,108.467,108.934,2020-06-08T14:00:00.000000000Z
2,108.470,108.661,108.414,108.574,2020-06-08T15:00:00.000000000Z
3,108.270,108.470,108.267,108.468,2020-06-08T16:00:00.000000000Z
4,108.344,108.412,108.236,108.272,2020-06-08T17:00:00.000000000Z
5,108.330,108.348,108.257,108.346,2020-06-08T18:00:00.000000000Z
6,108.392,108.404,108.319,108.332,2020-06-08T19:00:00.000000000Z
7,108.430,108.448,108.342,108.391,2020-06-08T20:00:00.000000000Z
8,108.420,108.458,108.351,108.440,2020-06-08T21:00:00.000000000Z
9,108.532,108.546,108.369,108.416,2020-06-08T22:00:00.000000000Z
10,108.422,108.530,108.387,108.530,2020-06-08T23:00:00.000000000Z
11,108.038,108.420,107.990,108.420,2020-06-09T00:00:00.000000000Z
12,108.164,108.180,107.914,108.036,2020-06-09T01:00:00.000000000Z
13,108.174,108.211,108.121,108.162,2020-06-09T02:00:00.000000000Z
14,108.102,108.175,108.076,108.173,2020-06-09T03:00:00.000000000Z
15,107.968,108.102,107.944,108.101,2020-06-09T04:00:00.000000000Z
16,108.046,108.078,107.917,107.966,2020-06-09T05:00:00.000000000Z
17,108.008,108.074,107.850,108.044,2020-06-09T06:00:00.000000000Z
18,107.922,108.126,107.791,108.008,2020-06-09T07:00:00.000000000Z
19,107.890,108.016,107.881,107.920,2020-06-09T08:00:00.000000000Z
20,107.894,107.932,107.814,107.890,2020-06-09T09:00:00.000000000Z
21,108.060,108.072,107.844,107.892,2020-06-09T10:00:00.000000000Z
22,108.136,108.248,108.028,108.059,2020-06-09T11:00:00.000000000Z
23,107.916,108.196,107.893,108.135,2020-06-09T12:00:00.000000000Z
24,107.706,108.002,107.670,107.917,2020-06-09T13:00:00.000000000Z
25,107.720,107.862,107.665,107.705,2020-06-09T14:00:00.000000000Z
26,107.661,107.797,107.649,107.718,2020-06-09T15:00:00.000000000Z
27,107.718,107.755,107.622,107.660,2020-06-09T16:00:00.000000000Z
28,107.700,107.808,107.700,107.720,2020-06-09T17:00:00.000000000Z
29,107.746,107.746,107.666,107.702,2020-06-09T18:00:00.000000000Z
30,107.766,107.778,107.724,107.744,2020-06-09T19:00:00.000000000Z
31,107.755,107.790,107.729,107.765,2020-06-09T20:00:00.000000000Z
32,107.728,107.762,107.713,107.750,2020-06-09T21:00:00.000000000Z
33,107.820,107.822,107.724,107.724,2020-06-09T22:00:00.000000000Z
34,107.799,107.859,107.734,107.822,2020-06-09T23:00:00.000000000Z
35,107.781,107.874,107.745,107.798,2020-06-10T00:00:00.000000000Z
36,107.778,107.792,107.678,107.782,2020-06-10T01:00:00.000000000Z
37,107.670,107.788,107.661,107.777,2020-06-10T02:00:00.000000000Z
38,107.688,107.700,107.616,107.671,2020-06-10T03:00:00.000000000Z
39,107.550,107.686,107.526,107.686,2020-06-10T04:00:00.000000000Z
40,107.472,107.568,107.389,107.551,2020-06-10T05:00:00.000000000Z
41,107.364,107.505,107.338,107.474,2020-06-10T06:00:00.000000000Z
42,107.349,107.454,107.288,107.363,2020-06-10T07:00:00.000000000Z
43,107.316,107.370,107.282,107.350,2020-06-10T08:00:00.000000000Z
44,107.366,107.386,107.275,107.315,2020-06-10T09:00:00.000000000Z
45,107.362,107.408,107.322,107.368,2020-06-10T10:00:00.000000000Z
46,107.362,107.364,107.261,107.363,2020-06-10T11:00:00.000000000Z
47,107.340,107.452,107.313,107.360,2020-06-10T12:00:00.000000000Z
48,107.269,107.364,107.250,107.341,2020-06-10T13:00:00.000000000Z
49,107.232,107.368,107.163,107.270,2020-06-10T14:00:00.000000000Z
